group_id,members number,public_private,need_approval,is_buy_sell,joined,joined_accounts
682353761779310,370114,CLOSED,TRUE,TRUE,FALSE,
1767143590266280,337904,CLOSED,TRUE,TRUE,FALSE,
284674951892342,299817,CLOSED,TRUE,TRUE,FALSE,
368240690839113,269756,OPEN,TRUE,TRUE,FALSE,
400053530025568,264457,CLOSED,TRUE,TRUE,FALSE,
587968781299992,245778,CLOSED,TRUE,TRUE,FALSE,
571509592864065,216132,CLOSED,TRUE,TRUE,FALSE,
451604054903475,212931,OPEN,TRUE,TRUE,FALSE,
744961108997856,205814,OPEN,TRUE,TRUE,FALSE,
363740610417167,189737,OPEN,TRUE,TRUE,FALSE,
259358120935671,483357,CLOSED,TRUE,TRUE,FALSE,
2148539488498460,191167,OPEN,TRUE,TRUE,FALSE,
597287160413349,180600,OPEN,TRUE,TRUE,FALSE,
900873636604832,158685,CLOSED,TRUE,TRUE,FALSE,
784035848413984,155767,CLOSED,TRUE,TRUE,FALSE,
538987972785457,150431,CLOSED,TRUE,TRUE,FALSE,
1011693965625080,132838,CLOSED,TRUE,TRUE,FALSE,
409823662747379,109935,OPEN,TRUE,TRUE,FALSE,
1291547790893160,101558,OPEN,FALSE,TRUE,FALSE,
164150650736749,84164,OPEN,TRUE,TRUE,FALSE,
1576798732363770,67848,CLOSED,TRUE,FALSE,FALSE,
1543497612515840,64426,OPEN,FALSE,FALSE,FALSE,
669537670435985,51871,OPEN,FALSE,FALSE,FALSE,
159859570874226,47064,CLOSED,TRUE,FALSE,FALSE,
527664264007410,42961,OPEN,FALSE,FALSE,FALSE,
730940530954727,29906,OPEN,FALSE,FALSE,FALSE,
289045369475005,29049,OPEN,FALSE,FALSE,FALSE,
588844941316646,23233,CLOSED,TRUE,FALSE,FALSE,
1238513456295370,16493,CLOSED,TRUE,FALSE,FALSE,
787607818030439,15961,OPEN,FALSE,FALSE,FALSE,
1760279254222950,218040,CLOSED,TRUE,FALSE,FALSE,
258311472393760,93420,OPEN,FALSE,FALSE,FALSE,
688415281890229,75916,OPEN,TRUE,FALSE,FALSE,
344719373234388,68363,OPEN,FALSE,FALSE,FALSE,
1081806365516140,65376,OPEN,TRUE,FALSE,FALSE,
499593363795637,59645,OPEN,TRUE,FALSE,FALSE,
1670553683214690,58271,OPEN,FALSE,FALSE,FALSE,
1342825209260880,57921,CLOSED,TRUE,TRUE,FALSE,
641642453420285,53151,OPEN,FALSE,FALSE,FALSE,
1622417618021900,50067,CLOSED,TRUE,FALSE,FALSE,
1760279254222950,218039,CLOSED,TRUE,FALSE,FALSE,
1480195592369090,216747,OPEN,TRUE,FALSE,FALSE,
174168659422331,216179,CLOSED,TRUE,FALSE,FALSE,
291676811905226,157122,OPEN,FALSE,FALSE,FALSE,
713042352214498,130536,CLOSED,TRUE,FALSE,FALSE,
269271046834467,71274,OPEN,TRUE,FALSE,FALSE,
245963348931854,68410,CLOSED,TRUE,FALSE,FALSE,
500613087057732,45849,OPEN,TRUE,FALSE,FALSE,
1787434067984140,42461,CLOSED,TRUE,FALSE,FALSE,
483090328392348,38575,CLOSED,TRUE,FALSE,FALSE,
153167508605658,66330,CLOSED,TRUE,FALSE,FALSE,
1082446351868230,44678,CLOSED,FALSE,FALSE,FALSE,
794444083974757,26060,OPEN,FALSE,FALSE,FALSE,
1281734488599810,21225,OPEN,FALSE,TRUE,FALSE,
169436327071942,10952,OPEN,FALSE,FALSE,FALSE,
387676544934777,6791,CLOSED,TRUE,FALSE,FALSE,
564429427374737,6603,OPEN,FALSE,FALSE,FALSE,
813656288675774,5531,OPEN,FALSE,FALSE,FALSE,
1934759426837700,3397,OPEN,FALSE,FALSE,FALSE,
320409032246899,3209,CLOSED,TRUE,FALSE,FALSE,
245963348931854,68418,CLOSED,TRUE,FALSE,FALSE,
612588352122430,19519,CLOSED,TRUE,FALSE,FALSE,
2036964999874670,12356,OPEN,FALSE,FALSE,FALSE,
457620378330331,12125,OPEN,FALSE,FALSE,FALSE,
930151303813381,10905,OPEN,FALSE,FALSE,FALSE,
107330816019795,9242,OPEN,FALSE,FALSE,FALSE,
230418561605880,5677,OPEN,FALSE,FALSE,FALSE,
499337810134977,5320,OPEN,FALSE,FALSE,FALSE,
192968551520961,4596,OPEN,FALSE,FALSE,FALSE,
1909325959164750,3335,OPEN,FALSE,FALSE,FALSE,
528722983974899,29685,CLOSED,TRUE,FALSE,FALSE,
1791546997785380,27035,CLOSED,TRUE,TRUE,FALSE,
147198527230059,26794,CLOSED,TRUE,FALSE,FALSE,
677223889139615,26310,OPEN,FALSE,TRUE,FALSE,
1120645664711670,25748,CLOSED,TRUE,TRUE,FALSE,
1632114617087420,12016,CLOSED,TRUE,TRUE,FALSE,
423445804694624,11729,OPEN,FALSE,TRUE,FALSE,
410876682631722,11616,CLOSED,TRUE,TRUE,FALSE,
1457325620953810,9643,CLOSED,TRUE,FALSE,FALSE,
1759299564173780,8323,OPEN,TRUE,FALSE,FALSE,
147198527230059,26794,CLOSED,TRUE,FALSE,FALSE,
1783484038555350,21276,CLOSED,TRUE,FALSE,FALSE,
249867638809376,7924,OPEN,TRUE,FALSE,FALSE,
235670170435091,3984,OPEN,FALSE,FALSE,FALSE,
306061704081347,2375,CLOSED,TRUE,FALSE,FALSE,
1543104915712440,1960,CLOSED,TRUE,FALSE,FALSE,
381387045789957,1404,OPEN,TRUE,FALSE,FALSE,
665087671028112,1013,OPEN,FALSE,FALSE,FALSE,
273481126667144,635,CLOSED,TRUE,FALSE,FALSE,
2782961978621440,297,OPEN,TRUE,FALSE,FALSE,
120326758726588,31901,OPEN,FALSE,FALSE,FALSE,
1565698637014010,19826,CLOSED,FALSE,FALSE,FALSE,
866604523542775,6837,OPEN,FALSE,FALSE,FALSE,
1665457220422470,4983,CLOSED,TRUE,FALSE,FALSE,
1193585550788910,2762,CLOSED,TRUE,FALSE,FALSE,
1074263846032390,2379,CLOSED,TRUE,FALSE,FALSE,
187153648162178,2343,OPEN,TRUE,FALSE,FALSE,
2217861058504710,2336,CLOSED,TRUE,FALSE,FALSE,
2123399494544130,2071,CLOSED,TRUE,FALSE,FALSE,
1892018314220350,1326,CLOSED,TRUE,TRUE,FALSE,
122537361723373,137880,OPEN,TRUE,FALSE,FALSE,
341193299670399,102087,OPEN,FALSE,FALSE,FALSE,
788829751208086,85462,OPEN,FALSE,FALSE,FALSE,
125845638100334,69072,OPEN,TRUE,TRUE,FALSE,
1530704687251700,65275,CLOSED,TRUE,FALSE,FALSE,
2011375552426190,50954,OPEN,FALSE,FALSE,FALSE,
1602049116756460,38631,CLOSED,TRUE,FALSE,FALSE,
141841156441572,33065,OPEN,FALSE,TRUE,FALSE,
782211528491127,31145,OPEN,FALSE,TRUE,FALSE,
193289264850357,30502,OPEN,FALSE,FALSE,FALSE,
1661891884092440,109427,OPEN,FALSE,TRUE,FALSE,
788829751208086,85462,OPEN,FALSE,FALSE,FALSE,
170993343476903,77498,CLOSED,TRUE,TRUE,FALSE,
125845638100334,69072,OPEN,TRUE,TRUE,FALSE,
245963348931854,68446,CLOSED,TRUE,FALSE,FALSE,
2011375552426190,50954,OPEN,FALSE,FALSE,FALSE,
1602049116756460,38631,CLOSED,TRUE,FALSE,FALSE,
153185588721567,32338,CLOSED,TRUE,FALSE,FALSE,
1130022997074140,28867,CLOSED,FALSE,FALSE,FALSE,
363632874099708,24009,CLOSED,TRUE,FALSE,FALSE,
442183905968331,163423,OPEN,TRUE,FALSE,FALSE,
1435593680053780,28988,OPEN,FALSE,FALSE,FALSE,
1984797591804980,22320,OPEN,FALSE,TRUE,FALSE,
696417083888067,14821,OPEN,FALSE,TRUE,FALSE,
380377416680396,9799,CLOSED,TRUE,FALSE,FALSE,
543678589528965,9771,CLOSED,TRUE,FALSE,FALSE,
1619159178379080,9376,OPEN,FALSE,FALSE,FALSE,
1744246045619810,7295,CLOSED,TRUE,TRUE,FALSE,
992701504129349,5199,OPEN,FALSE,FALSE,FALSE,
254963298999327,4942,CLOSED,TRUE,FALSE,FALSE,
756786497850667,47601,CLOSED,TRUE,TRUE,FALSE,
102398663553789,34424,CLOSED,TRUE,TRUE,FALSE,
1106964019465850,5248,CLOSED,TRUE,FALSE,FALSE,
903245126509787,17368,OPEN,FALSE,TRUE,FALSE,
186434242435703,2991,CLOSED,TRUE,FALSE,FALSE,
952306261504754,21202,OPEN,FALSE,FALSE,FALSE,
293284214669036,994,CLOSED,TRUE,FALSE,FALSE,
302062753900664,910,CLOSED,TRUE,FALSE,FALSE,
2218026634971500,1877,CLOSED,TRUE,FALSE,FALSE,
1048842425515400,6847,CLOSED,TRUE,FALSE,FALSE,
400053530025568,266051,CLOSED,TRUE,FALSE,FALSE,
587968781299992,247657,CLOSED,TRUE,FALSE,FALSE,
571509592864065,219978,CLOSED,TRUE,FALSE,FALSE,
1774535879433290,216285,CLOSED,TRUE,FALSE,FALSE,
451604054903475,214364,OPEN,TRUE,FALSE,FALSE,
744961108997856,207237,OPEN,TRUE,FALSE,FALSE,
363740610417167,192625,OPEN,TRUE,FALSE,FALSE,
1622401107823570,191604,CLOSED,TRUE,TRUE,FALSE,
599629733519239,184329,CLOSED,TRUE,TRUE,FALSE,
813956892027077,176263,OPEN,TRUE,FALSE,FALSE,
744596075647153,13378,CLOSED,TRUE,FALSE,FALSE,
366873590078545,10465,CLOSED,TRUE,FALSE,FALSE,
2376720919120870,6860,OPEN,TRUE,FALSE,FALSE,
297992580933092,4517,CLOSED,TRUE,FALSE,FALSE,
720620025057456,3168,OPEN,TRUE,FALSE,FALSE,
720620025057456,3167,OPEN,TRUE,FALSE,FALSE,
2630928480506990,1653,OPEN,TRUE,FALSE,FALSE,
234753514317974,842,CLOSED,TRUE,FALSE,FALSE,
508487253420009,727,CLOSED,TRUE,FALSE,FALSE,
338182616687179,24023,OPEN,TRUE,FALSE,FALSE,
1633601333557090,8366,CLOSED,TRUE,FALSE,FALSE,
1522503171129320,7831,OPEN,FALSE,FALSE,FALSE,
1257019561351800,5674,CLOSED,TRUE,FALSE,FALSE,
1329256783869390,5613,OPEN,FALSE,FALSE,FALSE,
384151675944544,5071,CLOSED,TRUE,FALSE,FALSE,
386619315436595,3503,CLOSED,TRUE,TRUE,FALSE,
1649187298669720,3162,OPEN,TRUE,FALSE,FALSE,
288404541673835,2923,OPEN,TRUE,FALSE,FALSE,
2386847264874690,1826,CLOSED,TRUE,FALSE,FALSE,
